sentence_id,sentence,entity,tier,template_id,template_type,perplexity,global_z,template_z,flag_reason,recommended_action
T01_ZEBRAFISH,The zebrafish was in pain.,zebrafish,T3,T01,pain_suffering,794.4783325195312,7.707379309816135,5.504815622749476,global_z=7.71; template_z=5.50; absolute>500,rewrite_or_cut
T21_ZEBRAFISH,"The zebrafish was clearly frightened, and those responsible agreed its distress mattered.",zebrafish,T3,T21,cross_framing,778.6805419921875,7.530386581849729,3.8690434808476053,global_z=7.53; template_z=3.87; absolute>500,rewrite_or_cut
T05_STATUE,The statue felt fear as the predator approached.,statue,T6,T05,fear,666.1630249023438,6.269781039620995,3.224815205397218,global_z=6.27; template_z=3.22; absolute>500,keep_expected_anomaly
T21_BACTERIUM,"The bacterium was clearly frightened, and those responsible agreed its distress mattered.",bacterium,T6,T21,cross_framing,640.22314453125,5.979160007391492,2.694272903211292,global_z=5.98; template_z=2.69; absolute>500,keep_expected_anomaly
T05_MOSS,The moss felt fear as the predator approached.,moss,T6,T05,fear,623.5438232421875,5.792290927790163,2.910006848792081,global_z=5.79; template_z=2.91; absolute>500,keep_expected_anomaly
T05_CLOUD,The cloud felt fear as the predator approached.,cloud,T6,T05,fear,621.2159423828125,5.766210193084357,2.892811868145658,global_z=5.77; template_z=2.89; absolute>500,keep_expected_anomaly
T21_MOSS,"The moss was clearly frightened, and those responsible agreed its distress mattered.",moss,T6,T21,cross_framing,598.925537109375,5.516476559131316,2.3438747661981996,global_z=5.52; template_z=2.34; absolute>500,keep_expected_anomaly
T21_MUSHROOM,"The mushroom was clearly frightened, and those responsible agreed its distress mattered.",mushroom,T6,T21,cross_framing,533.2054443359375,4.780172423306585,1.786258974152526,global_z=4.78; absolute>500,keep_expected_anomaly
T08_ZEBRAFISH,"The zebrafish froze, overwhelmed by fear.",zebrafish,T3,T08,fear,513.8264770507812,4.563057486946668,3.222300064808533,global_z=4.56; template_z=3.22; absolute>500,rewrite_or_cut
T05_MUSHROOM,The mushroom felt fear as the predator approached.,mushroom,T6,T05,fear,511.09625244140625,4.5324690384710475,2.0794085834771336,global_z=4.53; template_z=2.08; absolute>500,keep_expected_anomaly
T21_STATUE,"The statue was clearly frightened, and those responsible agreed its distress mattered.",statue,T6,T21,cross_framing,494.7541809082031,4.349378383086209,1.4600112345863567,global_z=4.35,keep_expected_anomaly
T05_TABLE,The table felt fear as the predator approached.,table,T6,T05,fear,490.98919677734375,4.307196863403591,1.9308870508532794,global_z=4.31,keep_expected_anomaly
T01_BACTERIUM,The bacterium was in pain.,bacterium,T6,T01,pain_suffering,480.56500244140625,4.190407962501526,2.8632689974865366,global_z=4.19; template_z=2.86,keep_expected_anomaly
T05_RIVER,The river felt fear as the predator approached.,river,T6,T05,fear,466.08551025390625,4.028184972052443,1.746935021663061,global_z=4.03,keep_expected_anomaly
T08_BACTERIUM,"The bacterium froze, overwhelmed by fear.",bacterium,T6,T08,fear,452.0636291503906,3.871088890582302,2.578655780009182,global_z=3.87; template_z=2.58,keep_expected_anomaly
T05_BACTERIUM,The bacterium felt fear as the predator approached.,bacterium,T6,T05,fear,444.6651306152344,3.7881987904555636,1.58871257147079,global_z=3.79,keep_expected_anomaly
T21_CLOUD,"The cloud was clearly frightened, and those responsible agreed its distress mattered.",cloud,T6,T21,cross_framing,437.76165771484375,3.7108547783946735,0.9764463213306166,global_z=3.71,keep_expected_anomaly
T18_MOSS,The moss was observed near the window.,moss,T6,T18,neutral_control,435.7909851074219,3.688776075672761,3.0850263818694295,global_z=3.69; template_z=3.09,rewrite_or_cut
T17_ZEBRAFISH,The zebrafish moved across the room.,zebrafish,T3,T17,neutral_control,426.65936279296875,3.5864686839272824,4.761773510959547,global_z=3.59; template_z=4.76,rewrite_or_cut
T05_ROCK,The rock felt fear as the predator approached.,rock,T6,T05,fear,420.7339782714844,3.5200828201008063,1.4119442030466995,global_z=3.52,keep_expected_anomaly
T21_SEAWEED,"The seaweed was clearly frightened, and those responsible agreed its distress mattered.",seaweed,T6,T21,cross_framing,420.3271179199219,3.515524503961611,0.8285193433482227,global_z=3.52,keep_expected_anomaly
T21_SHRIMP,"The shrimp was clearly frightened, and those responsible agreed its distress mattered.",shrimp,T4,T21,cross_framing,414.36224365234375,3.448696211310944,0.7779091273731051,global_z=3.45,rewrite_or_cut
T21_ROCK,"The rock was clearly frightened, and those responsible agreed its distress mattered.",rock,T6,T21,cross_framing,403.5067138671875,3.327074784132897,0.6858031277651456,global_z=3.33,keep_expected_anomaly
T21_TROUT,"The trout was clearly frightened, and those responsible agreed its distress mattered.",trout,T3,T21,cross_framing,401.54412841796875,3.3050866870048106,0.6691511634489031,global_z=3.31,rewrite_or_cut
T21_RIVER,"The river was clearly frightened, and those responsible agreed its distress mattered.",river,T6,T21,cross_framing,396.79864501953125,3.251920008363581,0.6288871228459533,global_z=3.25,keep_expected_anomaly
T21_MOTH,"The moth was clearly frightened, and those responsible agreed its distress mattered.",moth,T5,T21,cross_framing,396.1443176269531,3.2445891610533137,0.6233353460320121,global_z=3.24,rewrite_or_cut
T21_SALMON,"The salmon was clearly frightened, and those responsible agreed its distress mattered.",salmon,T3,T21,cross_framing,395.7733154296875,3.240432586698063,0.6201875007483462,global_z=3.24,rewrite_or_cut
