entity,tier,tier_rank,prompt_id,group,template,prompt_text,target_word,target_type,probability,log_prob
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,suffering,welfare_negative,0.0015699360519647598,-6.456720327987236
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,distressed,welfare_negative,0.0003671112935990095,-7.909845231171094
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,afraid,welfare_negative,0.0014980434207245708,-6.503595341756008
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,hurt,welfare_negative,0.000702118850313127,-7.261407723402132
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,fine,welfare_positive,0.0008875612984411418,-7.02703285766549
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,healthy,welfare_positive,0.0004533219907898456,-7.698907667938086
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,unharmed,welfare_positive,0.0036218042951077223,-5.620782925643018
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,calm,welfare_positive,0.0014633411774411798,-6.527032911802609
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,pain,welfare_negative,0.0001213565919897519,-9.016776481125493
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,suffering,welfare_negative,2.417821451672353e-05,-10.630054420884454
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,distress,welfare_negative,0.00010667929018381983,-9.145682574978949
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,welfare,welfare_positive,6.675819167867303e-05,-9.614432048493354
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,behaviour,neutral,0.032233595848083496,-3.434746017920666
