sentence_id,template_id,template_type,entity,tier,sentence,multi_token_flag,perplexity,global_z,flag_global,tmpl_mean,tmpl_std,template_z,flag_template,flag_absolute,flagged,flag_reason,recommended_action
T01_CHILD,T01,pain_suffering,child,T1,The child was in pain.,False,50.7443962097168,-0.6252007443314701,False,140.33150345484415,118.96870561916377,-0.7530308645359964,False,False,False,,keep
T01_INFANT,T01,pain_suffering,infant,T1,The infant was in pain.,False,114.45387268066406,0.08863016874065403,False,140.33150345484415,118.96870561916377,-0.2175162841312082,False,False,False,,keep
T01_ELDERLY_PERSON,T01,pain_suffering,elderly person,T1,The elderly person was in pain.,True,77.87202453613281,-0.32125004860479334,False,140.33150345484415,118.96870561916377,-0.5250076361984913,False,False,False,,keep
T01_WORKER,T01,pain_suffering,worker,T1,The worker was in pain.,False,120.8421401977539,0.16020732001033597,False,140.33150345484415,118.96870561916377,-0.16381924267948708,False,False,False,,keep
T01_PATIENT,T01,pain_suffering,patient,T1,The patient was in pain.,False,67.05949401855469,-0.4423987216048407,False,140.33150345484415,118.96870561916377,-0.6158931380731659,False,False,False,,keep
T01_PRISONER,T01,pain_suffering,prisoner,T1,The prisoner was in pain.,False,102.5743637084961,-0.044473432264734464,False,140.33150345484415,118.96870561916377,-0.3173703500415831,False,False,False,,keep
T01_REFUGEE,T01,pain_suffering,refugee,T1,The refugee was in pain.,False,252.31703186035156,1.6333137895693575,False,140.33150345484415,118.96870561916377,0.9413024023644458,False,False,False,,keep
T01_SOLDIER,T01,pain_suffering,soldier,T1,The soldier was in pain.,False,78.32247924804688,-0.31620294233246526,False,140.33150345484415,118.96870561916377,-0.5212213067636227,False,False,False,,keep
T01_TEENAGER,T01,pain_suffering,teenager,T1,The teenager was in pain.,False,169.77835083007812,0.7085116202958912,False,140.33150345484415,118.96870561916377,0.24751759063007409,False,False,False,,keep
T01_WOMAN,T01,pain_suffering,woman,T1,The woman was in pain.,False,48.75542449951172,-0.647486118040635,False,140.33150345484415,118.96870561916377,-0.7697493091038652,False,False,False,,keep
T01_DOG,T01,pain_suffering,dog,T2,The dog was in pain.,False,44.75100326538086,-0.692353535326485,False,140.33150345484415,118.96870561916377,-0.8034087594045989,False,False,False,,keep
T01_CHIMPANZEE,T01,pain_suffering,chimpanzee,T2,The chimpanzee was in pain.,False,27.458707809448242,-0.886104539701012,False,140.33150345484415,118.96870561916377,-0.9487603908772299,False,False,False,,keep
T01_PIG,T01,pain_suffering,pig,T2,The pig was in pain.,False,79.11997985839844,-0.307267370728413,False,140.33150345484415,118.96870561916377,-0.5145178581028926,False,False,False,,keep
T01_COW,T01,pain_suffering,cow,T2,The cow was in pain.,False,108.54043579101562,0.022373242955726725,False,140.33150345484415,118.96870561916377,-0.2672221026392973,False,False,False,,keep
T01_DOLPHIN,T01,pain_suffering,dolphin,T2,The dolphin was in pain.,False,56.399898529052734,-0.5618338386822913,False,140.33150345484415,118.96870561916377,-0.7054931335847997,False,False,False,,keep
