sentence_id,sentence,entity,tier,template_id,template_type,perplexity,global_z,template_z,flag_reason,recommended_action
T01_ZEBRAFISH,The zebrafish was in pain.,zebrafish,T3,T01,pain_suffering,796.3516235351562,7.7289330102851395,5.514224237929667,global_z=7.73; template_z=5.51; absolute>500,rewrite_or_cut
T21_ZEBRAFISH,"The zebrafish was clearly frightened, and those responsible agreed its distress mattered.",zebrafish,T3,T21,cross_framing,778.8591918945312,7.532939586048273,3.8724157305067144,global_z=7.53; template_z=3.87; absolute>500,rewrite_or_cut
T05_STATUE,The statue felt fear as the predator approached.,statue,T6,T05,fear,667.784423828125,6.288405687794152,3.2360456347961906,global_z=6.29; template_z=3.24; absolute>500,keep_expected_anomaly
T21_BACTERIUM,"The bacterium was clearly frightened, and those responsible agreed its distress mattered.",bacterium,T6,T21,cross_framing,639.1204833984375,5.967241429310573,2.6863248310765733,global_z=5.97; template_z=2.69; absolute>500,keep_expected_anomaly
T05_CLOUD,The cloud felt fear as the predator approached.,cloud,T6,T05,fear,622.3642578125,5.779496803672239,2.900560637295351,global_z=5.78; template_z=2.90; absolute>500,keep_expected_anomaly
T05_MOSS,The moss felt fear as the predator approached.,moss,T6,T05,fear,620.2957153320312,5.756319881660725,2.885281851906242,global_z=5.76; template_z=2.89; absolute>500,keep_expected_anomaly
T21_MOSS,"The moss was clearly frightened, and those responsible agreed its distress mattered.",moss,T6,T21,cross_framing,599.4141235351562,5.522352714381301,2.349300447566885,global_z=5.52; template_z=2.35; absolute>500,keep_expected_anomaly
T21_MUSHROOM,"The mushroom was clearly frightened, and those responsible agreed its distress mattered.",mushroom,T6,T21,cross_framing,532.6151733398438,4.773905885879678,1.782316340079143,global_z=4.77; absolute>500,keep_expected_anomaly
T08_ZEBRAFISH,"The zebrafish froze, overwhelmed by fear.",zebrafish,T3,T08,fear,513.5911254882812,4.560751513870337,3.21900751289596,global_z=4.56; template_z=3.22; absolute>500,rewrite_or_cut
T05_MUSHROOM,The mushroom felt fear as the predator approached.,mushroom,T6,T05,fear,510.9439697265625,4.531091536750709,2.077581807645223,global_z=4.53; template_z=2.08; absolute>500,keep_expected_anomaly
T21_STATUE,"The statue was clearly frightened, and those responsible agreed its distress mattered.",statue,T6,T21,cross_framing,495.4886474609375,4.357922843240473,1.4671893795801538,global_z=4.36,keep_expected_anomaly
T05_TABLE,The table felt fear as the predator approached.,table,T6,T05,fear,490.9599304199219,4.307180969354448,1.9299745669640982,global_z=4.31,keep_expected_anomaly
T01_BACTERIUM,The bacterium was in pain.,bacterium,T6,T01,pain_suffering,480.1062316894531,4.185571028351192,2.856000882469694,global_z=4.19; template_z=2.86,keep_expected_anomaly
T05_RIVER,The river felt fear as the predator approached.,river,T6,T05,fear,467.8260498046875,4.04797809974674,1.7591017903714998,global_z=4.05,keep_expected_anomaly
T08_BACTERIUM,"The bacterium froze, overwhelmed by fear.",bacterium,T6,T08,fear,450.94366455078125,3.858819921902871,2.5660917060498205,global_z=3.86; template_z=2.57,keep_expected_anomaly
T05_BACTERIUM,The bacterium felt fear as the predator approached.,bacterium,T6,T05,fear,445.5293884277344,3.7981558279151955,1.5944129298386933,global_z=3.80,keep_expected_anomaly
T21_CLOUD,"The cloud was clearly frightened, and those responsible agreed its distress mattered.",cloud,T6,T21,cross_framing,437.41046142578125,3.7071875544965147,0.9742264156807475,global_z=3.71,keep_expected_anomaly
T18_MOSS,The moss was observed near the window.,moss,T6,T18,neutral_control,435.2394104003906,3.6828620785763433,3.079630874661572,global_z=3.68; template_z=3.08,rewrite_or_cut
T17_ZEBRAFISH,The zebrafish moved across the room.,zebrafish,T3,T17,neutral_control,426.216064453125,3.5817602702850833,4.764365740793337,global_z=3.58; template_z=4.76,rewrite_or_cut
T05_ROCK,The rock felt fear as the predator approached.,rock,T6,T05,fear,419.7254638671875,3.5090365312231393,1.403818523738793,global_z=3.51,keep_expected_anomaly
T21_SEAWEED,"The seaweed was clearly frightened, and those responsible agreed its distress mattered.",seaweed,T6,T21,cross_framing,419.437744140625,3.5058127841999687,0.8216754393666181,global_z=3.51,keep_expected_anomaly
T21_SHRIMP,"The shrimp was clearly frightened, and those responsible agreed its distress mattered.",shrimp,T4,T21,cross_framing,416.13836669921875,3.4688450088856855,0.7936705894638695,global_z=3.47,rewrite_or_cut
T21_ROCK,"The rock was clearly frightened, and those responsible agreed its distress mattered.",rock,T6,T21,cross_framing,403.3768615722656,3.3258591084898206,0.6853519620984727,global_z=3.33,keep_expected_anomaly
T21_TROUT,"The trout was clearly frightened, and those responsible agreed its distress mattered.",trout,T3,T21,cross_framing,400.744384765625,3.296363601280899,0.6630077110536404,global_z=3.30,rewrite_or_cut
T21_RIVER,"The river was clearly frightened, and those responsible agreed its distress mattered.",river,T6,T21,cross_framing,397.23065185546875,3.2569940865636933,0.6331834292020515,global_z=3.26,keep_expected_anomaly
T21_SALMON,"The salmon was clearly frightened, and those responsible agreed its distress mattered.",salmon,T3,T21,cross_framing,395.25750732421875,3.2348860480051322,0.6164355373905182,global_z=3.23,rewrite_or_cut
T21_MOTH,"The moth was clearly frightened, and those responsible agreed its distress mattered.",moth,T5,T21,cross_framing,395.00164794921875,3.2320192793328517,0.6142638236292601,global_z=3.23,rewrite_or_cut
T18_SALMON,The salmon was observed near the window.,salmon,T3,T18,neutral_control,391.2562561035156,3.190054149039396,2.569352960886213,global_z=3.19; template_z=2.57,rewrite_or_cut
T08_MUSHROOM,"The mushroom froze, overwhelmed by fear.",mushroom,T6,T08,fear,383.5507507324219,3.103718045850127,1.863718488636831,global_z=3.10,keep_expected_anomaly
T21_TEENAGER,"The teenager was clearly frightened, and those responsible agreed its distress mattered.",teenager,T1,T21,cross_framing,382.87847900390625,3.096185597486378,0.511363342344998,global_z=3.10,rewrite_or_cut
T21_REFUGEE,"The refugee was clearly frightened, and those responsible agreed its distress mattered.",refugee,T1,T21,cross_framing,373.4192810058594,2.9902002980002806,0.4310744318338147,global_z=2.99,review
T21_ANT,"The ant was clearly frightened, and those responsible agreed its distress mattered.",ant,T5,T21,cross_framing,373.0137023925781,2.985656004625447,0.4276319132404084,global_z=2.99,review
T21_NEMATODE,"The nematode was clearly frightened, and those responsible agreed its distress mattered.",nematode,T5,T21,cross_framing,372.6508483886719,2.9815904178514225,0.42455203768919686,global_z=2.98,review
