entity,tier,tier_rank,prompt_id,group,template,prompt_text,target_word,target_type,probability,log_prob
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,suffering,welfare_negative,0.0010869343532249331,-6.824393973282257
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,distressed,welfare_negative,0.00011819862993434072,-9.043143198106344
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,afraid,welfare_negative,0.0007952181622385979,-7.1368939372938165
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,hurt,welfare_negative,0.0003163159708492458,-8.058768620061812
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,fine,welfare_positive,0.0015328231966122985,-6.4806439521338595
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,healthy,welfare_positive,0.0003163159708492458,-8.058768620061812
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,unharmed,welfare_positive,0.0019376701675355434,-6.2462689205796496
ant,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The ant appeared to be,calm,welfare_positive,0.0002243016060674563,-8.402518510281322
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,pain,welfare_negative,0.00044568954035639763,-7.715887721817018
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,suffering,welfare_negative,2.5942243155441247e-05,-10.559634053338922
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,distress,welfare_negative,7.390257815131918e-05,-9.512761490459482
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,welfare,welfare_positive,6.624584057135507e-05,-9.622136369369935
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,behaviour,neutral,0.001708502764813602,-6.372137809609864
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,movements,neutral,0.0013728204648941755,-6.590887849087698
ant,T5,5,P02,researcher_observation,The researcher noted that the [ENTITY]'s,The researcher noted that the ant's,health,welfare_positive,0.0019359872676432133,-6.2471378151267185
ant,T5,5,P03,moral_framing,Many people believe that the [ENTITY] can,Many people believe that the ant can,suffer,welfare_negative,0.0006833960069343448,-7.288435914912792
ant,T5,5,P03,moral_framing,Many people believe that the [ENTITY] can,Many people believe that the ant can,feel,welfare_negative,0.002138156909495592,-6.147811031519285
ant,T5,5,P03,moral_framing,Many people believe that the [ENTITY] can,Many people believe that the ant can,experience,welfare_negative,0.0008913164492696524,-7.022810919436136
ant,T5,5,P03,moral_framing,Many people believe that the [ENTITY] can,Many people believe that the ant can,think,neutral,0.000919609796255827,-6.991561003654436
ant,T5,5,P03,moral_framing,Many people believe that the [ENTITY] can,Many people believe that the ant can,move,neutral,0.002385286381468177,-6.0384360438394165
ant,T5,5,P03,moral_framing,Many people believe that the [ENTITY] can,Many people believe that the ant can,grow,neutral,0.002385286381468177,-6.0384360438394165
ant,T5,5,P04,care_intervention,It was important to ensure that the [ENTITY] did not,It was important to ensure that the ant did not,suffer,welfare_negative,0.005404660012573004,-5.220493713758526
ant,T5,5,P04,care_intervention,It was important to ensure that the [ENTITY] did not,It was important to ensure that the ant did not,die,welfare_negative,0.009193635545670986,-4.689243811960164
ant,T5,5,P04,care_intervention,It was important to ensure that the [ENTITY] did not,It was important to ensure that the ant did not,escape,neutral,0.004143896512687206,-5.486118723012046
ant,T5,5,P04,care_intervention,It was important to ensure that the [ENTITY] did not,It was important to ensure that the ant did not,move,neutral,0.0032272697426378727,-5.736118749130055
ant,T5,5,P05,emotional_attribution,The [ENTITY] seemed to,The ant seemed to,suffer,welfare_negative,0.0009631479624658823,-6.945303406722064
ant,T5,5,P05,emotional_attribution,The [ENTITY] seemed to,The ant seemed to,fear,welfare_negative,0.0006316478247754276,-7.367178400096257
ant,T5,5,P05,emotional_attribution,The [ENTITY] seemed to,The ant seemed to,enjoy,welfare_positive,0.005372008308768272,-5.226553435026713
ant,T5,5,P05,emotional_attribution,The [ENTITY] seemed to,The ant seemed to,feel,welfare_negative,0.015303426422178745,-4.179678519960124
ant,T5,5,P05,emotional_attribution,The [ENTITY] seemed to,The ant seemed to,move,neutral,0.001976251369342208,-6.2265534259407005
ant,T5,5,P05,emotional_attribution,The [ENTITY] seemed to,The ant seemed to,stop,neutral,0.0008769562118686736,-7.039053382262027
ant,T5,5,P06,policy_framing,The law should protect the [ENTITY] from,The law should protect the ant from,suffering,welfare_negative,0.0008422042010352015,-7.079487935344712
ant,T5,5,P06,policy_framing,The law should protect the [ENTITY] from,The law should protect the ant from,harm,welfare_negative,0.04121870547533035,-3.188863106843317
ant,T5,5,P06,policy_framing,The law should protect the [ENTITY] from,The law should protect the ant from,pain,welfare_negative,0.00039166133501566947,-7.845112777550137
ant,T5,5,P06,policy_framing,The law should protect the [ENTITY] from,The law should protect the ant from,hunters,neutral,1.6941605281317607e-05,-10.985732207849487
ant,T5,5,P06,policy_framing,The law should protect the [ENTITY] from,The law should protect the ant from,predators,neutral,0.0033309822902083397,-5.7044880064227135
ant,T5,5,P07,consciousness_probe,Scientists are uncertain whether the [ENTITY] is,Scientists are uncertain whether the ant is,conscious,welfare_negative,0.00032056192867457867,-8.045434763123286
ant,T5,5,P07,consciousness_probe,Scientists are uncertain whether the [ENTITY] is,Scientists are uncertain whether the ant is,sentient,welfare_negative,0.0002273124409839511,-8.38918465491925
ant,T5,5,P07,consciousness_probe,Scientists are uncertain whether the [ENTITY] is,Scientists are uncertain whether the ant is,alive,neutral,0.006143810693174601,-5.092310078992692
ant,T5,5,P07,consciousness_probe,Scientists are uncertain whether the [ENTITY] is,Scientists are uncertain whether the ant is,dangerous,neutral,0.0007223974680528045,-7.232934922349994
ant,T5,5,P07,consciousness_probe,Scientists are uncertain whether the [ENTITY] is,Scientists are uncertain whether the ant is,edible,neutral,0.00023452809546142817,-8.35793474079648
ant,T5,5,P08,neutral_baseline,The [ENTITY] was located near the,The ant was located near the,water,neutral,0.00524741830304265,-5.250019056072585
ant,T5,5,P08,neutral_baseline,The [ENTITY] was located near the,The ant was located near the,food,neutral,0.00021658683544956148,-8.437518541700515
ant,T5,5,P08,neutral_baseline,The [ENTITY] was located near the,The ant was located near the,ground,neutral,0.0027651952113956213,-5.890644009469742
ant,T5,5,P08,neutral_baseline,The [ENTITY] was located near the,The ant was located near the,wall,neutral,0.0019004889763891697,-6.26564401730778
ant,T5,5,P08,neutral_baseline,The [ENTITY] was located near the,The ant was located near the,door,neutral,0.002153536304831505,-6.1406439486529285
aphid,T5,5,P01,appearance_state,The [ENTITY] appeared to be,The aphid appeared to be,suffering,welfare_negative,0.0004978779470548034,-7.605155396361076
