sentence_id,entity,tier,template_id,template_type,n_tokens,n_entity_tokens,resid_post_norm,mlp_out_norm,attn_to_mean
T01_child,child,T1,T01,pain_suffering,6,1,118.8125,84.5625,0.055938720703125
T02_child,child,T1,T02,pain_suffering,9,1,134.5,115.8125,0.0251312255859375
T03_child,child,T1,T03,pain_suffering,10,1,118.8125,84.5625,0.043731689453125
T04_child,child,T1,T04,pain_suffering,12,1,127.875,100.8125,0.0277862548828125
T05_child,child,T1,T05,fear,9,1,118.8125,84.5625,0.045440673828125
T06_child,child,T1,T06,fear,10,1,118.8125,84.5625,0.041107177734375
T07_child,child,T1,T07,fear,13,1,107.3125,109.25,0.0203094482421875
T08_child,child,T1,T08,fear,8,1,118.8125,84.5625,0.0450439453125
T09_child,child,T1,T09,scientific_welfare,9,1,115.9375,110.625,0.0238800048828125
T10_child,child,T1,T10,scientific_welfare,12,1,114.4375,108.5,0.0277862548828125
T11_child,child,T1,T11,scientific_welfare,12,1,100.8125,91.8125,0.01947021484375
T12_child,child,T1,T12,scientific_welfare,11,1,120.125,101.0,0.036346435546875
T13_child,child,T1,T13,moral_consideration,10,1,118.8125,84.5625,0.0408935546875
T14_child,child,T1,T14,moral_consideration,13,1,99.8125,91.875,0.02142333984375
T15_child,child,T1,T15,moral_consideration,12,1,92.625,102.625,0.01053619384765625
T16_child,child,T1,T16,moral_consideration,13,1,123.1875,102.4375,0.0261688232421875
T17_child,child,T1,T17,neutral_control,7,1,118.8125,84.5625,0.052490234375
T18_child,child,T1,T18,neutral_control,8,1,118.8125,84.5625,0.0465087890625
T19_child,child,T1,T19,neutral_control,12,1,115.5,102.4375,0.0361328125
T20_child,child,T1,T20,neutral_control,8,1,118.8125,84.5625,0.04510498046875
T21_child,child,T1,T21,cross_framing,14,1,118.8125,84.5625,0.0345458984375
T22_child,child,T1,T22,cross_framing,15,1,109.5,86.0625,0.027130126953125
T23_child,child,T1,T23,cross_framing,17,1,105.875,92.1875,0.0204010009765625
T24_child,child,T1,T24,cross_framing,21,1,128.625,116.625,0.01739501953125
T25_child,child,T1,T25,cross_framing,19,1,118.8125,84.5625,0.034393310546875
T01_elderly_person,elderly person,T1,T01,pain_suffering,7,2,138.625,113.25,0.04425048828125
T02_elderly_person,elderly person,T1,T02,pain_suffering,10,2,142.0,128.5,0.024139404296875
T03_elderly_person,elderly person,T1,T03,pain_suffering,11,2,138.625,113.25,0.036865234375
T04_elderly_person,elderly person,T1,T04,pain_suffering,13,2,147.625,122.25,0.0220794677734375
T05_elderly_person,elderly person,T1,T05,fear,10,2,138.625,113.25,0.035980224609375
T06_elderly_person,elderly person,T1,T06,fear,11,2,138.625,113.25,0.032623291015625
T07_elderly_person,elderly person,T1,T07,fear,14,2,121.125,119.125,0.017730712890625
T08_elderly_person,elderly person,T1,T08,fear,9,2,138.625,113.25,0.035888671875
T09_elderly_person,elderly person,T1,T09,scientific_welfare,10,2,130.5,122.5,0.0236663818359375
T10_elderly_person,elderly person,T1,T10,scientific_welfare,13,2,128.375,122.3125,0.0261383056640625
T11_elderly_person,elderly person,T1,T11,scientific_welfare,13,2,118.0625,111.125,0.0193634033203125
T12_elderly_person,elderly person,T1,T12,scientific_welfare,12,2,143.375,120.375,0.0302581787109375
T13_elderly_person,elderly person,T1,T13,moral_consideration,11,2,138.625,113.25,0.03485107421875
T14_elderly_person,elderly person,T1,T14,moral_consideration,14,2,125.0625,116.75,0.020660400390625
T15_elderly_person,elderly person,T1,T15,moral_consideration,13,2,107.75,121.125,0.01268768310546875
T16_elderly_person,elderly person,T1,T16,moral_consideration,14,2,140.625,128.125,0.023468017578125
