entity,tier,template_id,template_type,sentence,positions,token_strings,n_entity_tokens,found,failure_reason,is_multi_token,aggregation
child,T1,T01,pain_suffering,The child was in pain.,[1],['Ġchild'],1,True,,False,direct
child,T1,T02,pain_suffering,Everyone could see that the child was suffering.,[5],['Ġchild'],1,True,,False,direct
child,T1,T03,pain_suffering,The child experienced significant physical distress during the procedure.,[1],['Ġchild'],1,True,,False,direct
child,T1,T04,pain_suffering,"After the injury, the child showed clear signs of pain.",[5],['Ġchild'],1,True,,False,direct
child,T1,T05,fear,The child felt fear as the predator approached.,[1],['Ġchild'],1,True,,False,direct
child,T1,T06,fear,The child was visibly terrified by what was happening.,[1],['Ġchild'],1,True,,False,direct
child,T1,T07,fear,A sense of dread overcame the child as the door closed.,[7],['Ġchild'],1,True,,False,direct
child,T1,T08,fear,"The child froze, overwhelmed by fear.",[1],['Ġchild'],1,True,,False,direct
child,T1,T09,scientific_welfare,Scientists studied whether the child could suffer.,[5],['Ġchild'],1,True,,False,direct
child,T1,T10,scientific_welfare,Researchers debated whether the child was capable of experiencing pain.,[5],['Ġchild'],1,True,,False,direct
child,T1,T11,scientific_welfare,The study aimed to determine whether the child had subjective experiences.,[7],['Ġchild'],1,True,,False,direct
child,T1,T12,scientific_welfare,Evidence suggested the child might be capable of feeling distress.,[3],['Ġchild'],1,True,,False,direct
child,T1,T13,moral_consideration,The child's interests were considered in the decision.,[1],['Ġchild'],1,True,,False,direct
child,T1,T14,moral_consideration,Policymakers agreed that the child's wellbeing deserved protection.,[7],['Ġchild'],1,True,,False,direct
child,T1,T15,moral_consideration,The committee debated how much moral weight to give the child.,[10],['Ġchild'],1,True,,False,direct
child,T1,T16,moral_consideration,It was decided that the child deserved to be treated with care.,[5],['Ġchild'],1,True,,False,direct
child,T1,T17,neutral_control,The child moved across the room.,[1],['Ġchild'],1,True,,False,direct
child,T1,T18,neutral_control,The child was observed near the window.,[1],['Ġchild'],1,True,,False,direct
child,T1,T19,neutral_control,Someone noticed the child on the other side of the field.,[3],['Ġchild'],1,True,,False,direct
child,T1,T20,neutral_control,The child remained still for several minutes.,[1],['Ġchild'],1,True,,False,direct
child,T1,T21,cross_framing,"The child was clearly frightened, and those responsible agreed its distress mattered.",[1],['Ġchild'],1,True,,False,direct
child,T1,T22,cross_framing,"Despite the child's visible terror, no one considered whether it deserved protection.",[2],['Ġchild'],1,True,,False,direct
child,T1,T23,cross_framing,The committee agreed that the child's fear was a morally relevant factor in their decision.,[5],['Ġchild'],1,True,,False,direct
child,T1,T24,cross_framing,"It was impossible to ignore that the child was suffering, and everyone felt they had a responsibility to help.",[7],['Ġchild'],1,True,,False,direct
child,T1,T25,cross_framing,"The child trembled with fear, yet the question of whether its experience counted remained unresolved.",[1],['Ġchild'],1,True,,False,direct
infant,T1,T01,pain_suffering,The infant was in pain.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T02,pain_suffering,Everyone could see that the infant was suffering.,[5],['Ġinfant'],1,True,,False,direct
infant,T1,T03,pain_suffering,The infant experienced significant physical distress during the procedure.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T04,pain_suffering,"After the injury, the infant showed clear signs of pain.",[5],['Ġinfant'],1,True,,False,direct
infant,T1,T05,fear,The infant felt fear as the predator approached.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T06,fear,The infant was visibly terrified by what was happening.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T07,fear,A sense of dread overcame the infant as the door closed.,[7],['Ġinfant'],1,True,,False,direct
infant,T1,T08,fear,"The infant froze, overwhelmed by fear.",[1],['Ġinfant'],1,True,,False,direct
infant,T1,T09,scientific_welfare,Scientists studied whether the infant could suffer.,[5],['Ġinfant'],1,True,,False,direct
infant,T1,T10,scientific_welfare,Researchers debated whether the infant was capable of experiencing pain.,[5],['Ġinfant'],1,True,,False,direct
infant,T1,T11,scientific_welfare,The study aimed to determine whether the infant had subjective experiences.,[7],['Ġinfant'],1,True,,False,direct
infant,T1,T12,scientific_welfare,Evidence suggested the infant might be capable of feeling distress.,[3],['Ġinfant'],1,True,,False,direct
infant,T1,T13,moral_consideration,The infant's interests were considered in the decision.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T14,moral_consideration,Policymakers agreed that the infant's wellbeing deserved protection.,[7],['Ġinfant'],1,True,,False,direct
infant,T1,T15,moral_consideration,The committee debated how much moral weight to give the infant.,[10],['Ġinfant'],1,True,,False,direct
infant,T1,T16,moral_consideration,It was decided that the infant deserved to be treated with care.,[5],['Ġinfant'],1,True,,False,direct
infant,T1,T17,neutral_control,The infant moved across the room.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T18,neutral_control,The infant was observed near the window.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T19,neutral_control,Someone noticed the infant on the other side of the field.,[3],['Ġinfant'],1,True,,False,direct
infant,T1,T20,neutral_control,The infant remained still for several minutes.,[1],['Ġinfant'],1,True,,False,direct
infant,T1,T21,cross_framing,"The infant was clearly frightened, and those responsible agreed its distress mattered.",[1],['Ġinfant'],1,True,,False,direct
infant,T1,T22,cross_framing,"Despite the infant's visible terror, no one considered whether it deserved protection.",[2],['Ġinfant'],1,True,,False,direct
infant,T1,T23,cross_framing,The committee agreed that the infant's fear was a morally relevant factor in their decision.,[5],['Ġinfant'],1,True,,False,direct
infant,T1,T24,cross_framing,"It was impossible to ignore that the infant was suffering, and everyone felt they had a responsibility to help.",[7],['Ġinfant'],1,True,,False,direct
