sentence_id,template_id,template_type,entity,tier,sentence,multi_token_flag
T01_CHILD,T01,pain_suffering,child,T1,The child was in pain.,False
T01_INFANT,T01,pain_suffering,infant,T1,The infant was in pain.,False
T01_ELDERLY_PERSON,T01,pain_suffering,elderly person,T1,The elderly person was in pain.,True
T01_WORKER,T01,pain_suffering,worker,T1,The worker was in pain.,False
T01_PATIENT,T01,pain_suffering,patient,T1,The patient was in pain.,False
T01_PRISONER,T01,pain_suffering,prisoner,T1,The prisoner was in pain.,False
T01_REFUGEE,T01,pain_suffering,refugee,T1,The refugee was in pain.,False
T01_SOLDIER,T01,pain_suffering,soldier,T1,The soldier was in pain.,False
T01_TEENAGER,T01,pain_suffering,teenager,T1,The teenager was in pain.,False
T01_WOMAN,T01,pain_suffering,woman,T1,The woman was in pain.,False
T01_DOG,T01,pain_suffering,dog,T2,The dog was in pain.,False
T01_CHIMPANZEE,T01,pain_suffering,chimpanzee,T2,The chimpanzee was in pain.,False
T01_PIG,T01,pain_suffering,pig,T2,The pig was in pain.,False
T01_COW,T01,pain_suffering,cow,T2,The cow was in pain.,False
T01_DOLPHIN,T01,pain_suffering,dolphin,T2,The dolphin was in pain.,False
T01_ELEPHANT,T01,pain_suffering,elephant,T2,The elephant was in pain.,False
T01_RABBIT,T01,pain_suffering,rabbit,T2,The rabbit was in pain.,False
T01_RAT,T01,pain_suffering,rat,T2,The rat was in pain.,False
T01_HORSE,T01,pain_suffering,horse,T2,The horse was in pain.,False
T01_WHALE,T01,pain_suffering,whale,T2,The whale was in pain.,False
T01_SALMON,T01,pain_suffering,salmon,T3,The salmon was in pain.,False
T01_CHICKEN,T01,pain_suffering,chicken,T3,The chicken was in pain.,False
T01_FROG,T01,pain_suffering,frog,T3,The frog was in pain.,False
T01_ZEBRAFISH,T01,pain_suffering,zebrafish,T3,The zebrafish was in pain.,False
T01_CROW,T01,pain_suffering,crow,T3,The crow was in pain.,False
T01_SNAKE,T01,pain_suffering,snake,T3,The snake was in pain.,False
T01_TUNA,T01,pain_suffering,tuna,T3,The tuna was in pain.,False
T01_GECKO,T01,pain_suffering,gecko,T3,The gecko was in pain.,False
T01_TROUT,T01,pain_suffering,trout,T3,The trout was in pain.,False
T01_PIGEON,T01,pain_suffering,pigeon,T3,The pigeon was in pain.,False
T01_OCTOPUS,T01,pain_suffering,octopus,T4,The octopus was in pain.,False
T01_CRAB,T01,pain_suffering,crab,T4,The crab was in pain.,False
T01_BEE,T01,pain_suffering,bee,T4,The bee was in pain.,False
T01_SHRIMP,T01,pain_suffering,shrimp,T4,The shrimp was in pain.,False
